trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
380,False,"{'a': 0.1681966787265484, 'e': 0.3843522829941767}",25,13,23.061554463788564,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.16812275008788274, 'e': 0.3833914022866913}",25,7,33.308936139728004,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.1680490789293225, 'e': 0.38243292378097454}",25,11,27.16537006731272,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.16797566365891456, 'e': 0.38147684147152217}",30,20,19.327854821008064,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.16790250269876933, 'e': 0.38052314936784337}",30,20,17.211243461318272,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.16782959448489948, 'e': 0.37957184149442375}",30,18,24.369311748307773,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.1677569374670613, 'e': 0.37862291189068775}",20,3,30.11708924708878,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.16768453010859793, 'e': 0.37767635461096105}",20,10,22.408272861403667,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.16761237088628497, 'e': 0.37673216372443363}",20,12,19.157571712447503,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.16754045829017827, 'e': 0.37579033331512257}",20,10,14.855150648522478,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.16746879082346372, 'e': 0.3748508574818348}",20,9,19.918392641167216,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.16739736700230903, 'e': 0.37391373033813025}",20,10,15.809618934942813,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.16732618535571803, 'e': 0.37297894601228493}",30,10,37.434676629590484,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.1672552444253863, 'e': 0.37204649864725425}",20,14,13.282914631185312,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.1671845427655595, 'e': 0.3711163824006361}",20,6,27.206875294371077,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.16711407894289287, 'e': 0.37018859144463456}",20,11,16.626143396341337,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.16704385153631351, 'e': 0.36926311996602296}",20,15,10.660052887519107,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.16697385913688378, 'e': 0.3683399621661079}",20,8,25.102627004613833,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.16690410034766703, 'e': 0.3674191122606927}",25,7,34.642808717931686,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.16683457378359495, 'e': 0.366500564480041}",20,4,24.694795020403067,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.1667652780713369, 'e': 0.36558431306884087}",35,20,31.090749544863645,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.16669621184917072, 'e': 0.3646703522861688}",20,0,36.21155307225583,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.1666273737668555, 'e': 0.3637586764054534}",30,21,15.092611003119508,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.16655876248550613, 'e': 0.3628492797144398}",25,14,22.18034504419612,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.16649037667746924, 'e': 0.3619421565151537}",20,9,23.018997931656237,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.16642221502620114, 'e': 0.36103730112386584}",30,8,44.2853034920863,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
